ticker,name,sector,index
CVLT,COMMVAULT SYSTEMS INC,Information Technology,Russell 2000
SMPL,THE SIMPLY GOOD FOODS COMPANY,Consumer Staples,Russell 2000
MATX,MATSON INC,Industrials,Russell 2000
TCBI,TEXAS CAPITAL BANCSHARES INC,Financials,Russell 2000
FLYW,FLYWIRE CORP,Financials,Russell 2000
ESGR,ENSTAR GROUP LTD,Financials,Russell 2000
BNL,BROADSTONE NET LEASE INC,Real Estate,Russell 2000
SANM,SANMINA CORP,Information Technology,Russell 2000
ALIT,ALIGHT INC CLASS A,Industrials,Russell 2000
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,Russell 2000
IONQ,IONQ INC,Information Technology,Russell 2000
YELP,YELP INC,Communication,Russell 2000
HI,HILLENBRAND INC,Industrials,Russell 2000
UCBI,UNITED COMMUNITY BANKS INC,Financials,Russell 2000
AMR,ALPHA METALLURGICAL RESOURCE INC,Materials,Russell 2000
IRTC,IRHYTHM TECHNOLOGIES INC,Health Care,Russell 2000
AXNX,AXONICS INC,Health Care,Russell 2000
PACB,PACIFIC BIOSCIENCES OF CALIFORNIA,Health Care,Russell 2000
PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,Russell 2000
LCII,LCI INDUSTRIES,Consumer Discretionary,Russell 2000
UMBF,UMB FINANCIAL CORP,Financials,Russell 2000
RPD,RAPID7 INC,Information Technology,Russell 2000
BTU,PEABODY ENERGY CORP,Energy,Russell 2000
TPH,TRI POINTE HOMES INC,Consumer Discretionary,Russell 2000
BE,BLOOM ENERGY CLASS A CORP,Industrials,Russell 2000
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Communication,Russell 2000
EVH,EVOLENT HEALTH INC CLASS A,Health Care,Russell 2000
ITRI,ITRON INC,Information Technology,Russell 2000
DBRG,DIGITALBRIDGE GROUP INC CLASS A,Real Estate,Russell 2000
HELE,HELEN OF TROY LTD,Consumer Discretionary,Russell 2000
ALRM,ALARM.COM HOLDINGS INC,Information Technology,Russell 2000
DNLI,DENALI THERAPEUTICS INC,Health Care,Russell 2000
AVAV,AEROVIRONMENT INC,Industrials,Russell 2000
WIRE,ENCORE WIRE CORP,Industrials,Russell 2000
OI,O I GLASS INC,Materials,Russell 2000
OFC,CORPORATE OFFICE PROPERTIES TRUST,Real Estate,Russell 2000
ARCH,ARCH RESOURCES INC CLASS A,Materials,Russell 2000
CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,Russell 2000
PGNY,PROGYNY INC,Health Care,Russell 2000
CNO,CNO FINANCIAL GROUP INC,Financials,Russell 2000
LXP,LXP INDUSTRIAL TRUST,Real Estate,Russell 2000
DY,DYCOM INDUSTRIES INC,Industrials,Russell 2000
WDFC,WD-40,Consumer Staples,Russell 2000
ASB,ASSOCIATED BANCORP,Financials,Russell 2000
CSWI,CSW INDUSTRIALS INC,Industrials,Russell 2000
PTCT,PTC THERAPEUTICS INC,Health Care,Russell 2000
SEM,SELECT MEDICAL HOLDINGS CORP,Health Care,Russell 2000
CALX,CALIX NETWORKS INC,Information Technology,Russell 2000
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,Russell 2000
PZZA,PAPA JOHNS INTERNATIONAL INC,Consumer Discretionary,Russell 2000
ITGR,INTEGER HOLDINGS CORP,Health Care,Russell 2000
CATY,CATHAY GENERAL BANCORP,Financials,Russell 2000
CORT,CORCEPT THERAPEUTICS INC,Health Care,Russell 2000
STNG,SCORPIO TANKERS INC,Energy,Russell 2000
GMS,GMS INC,Industrials,Russell 2000
IOSP,INNOSPEC INC,Materials,Russell 2000
ABCB,AMERIS BANCORP,Financials,Russell 2000
MGEE,MGE ENERGY INC,Utilities,Russell 2000
KRYS,KRYSTAL BIOTECH INC,Health Care,Russell 2000
INMD,INMODE LTD,Health Care,Russell 2000
ABR,ARBOR REALTY TRUST REIT INC,Financials,Russell 2000
ESE,ESCO TECHNOLOGIES INC,Industrials,Russell 2000
HUBG,HUB GROUP INC CLASS A,Industrials,Russell 2000
FSLY,FASTLY INC CLASS A,Information Technology,Russell 2000
ABM,ABM INDUSTRIES INC,Industrials,Russell 2000
SITC,SITE CENTERS CORP,Real Estate,Russell 2000
AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,Russell 2000
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology,Russell 2000
KNF,KNIFE RIVER CORP,Materials,Russell 2000
CBZ,CBIZ INC,Industrials,Russell 2000
SFBS,SERVISFIRST BANCSHARES INC,Financials,Russell 2000
ENV,ENVESTNET INC,Information Technology,Russell 2000
WD,WALKER & DUNLOP INC,Financials,Russell 2000
SXT,SENSIENT TECHNOLOGIES CORP,Materials,Russell 2000
FTDR,FRONTDOOR INC,Consumer Discretionary,Russell 2000
JJSF,J AND J SNACK FOODS CORP,Consumer Staples,Russell 2000
UNF,UNIFIRST CORP,Industrials,Russell 2000
NPO,ENPRO INDUSTRIES INC,Industrials,Russell 2000
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care,Russell 2000
PIPR,PIPER SANDLER COMPANIES,Financials,Russell 2000
GNW,GENWORTH FINANCIAL A INC,Financials,Russell 2000
MDC,MDC HOLDINGS INC,Consumer Discretionary,Russell 2000
MAC,MACERICH REIT,Real Estate,Russell 2000
KAI,KADANT INC,Industrials,Russell 2000
ACIW,ACI WORLDWIDE INC,Information Technology,Russell 2000
VRRM,VERRA MOBILITY CORP CLASS A,Industrials,Russell 2000
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary,Russell 2000
WERN,WERNER ENTERPRISES INC,Industrials,Russell 2000
AXSM,AXSOME THERAPEUTICS INC,Health Care,Russell 2000
FORM,FORMFACTOR INC,Information Technology,Russell 2000
AVA,AVISTA CORP,Utilities,Russell 2000
OII,OCEANEERING INTERNATIONAL INC,Energy,Russell 2000
KFY,KORN FERRY,Industrials,Russell 2000
HASI,HANNON ARMSTRONG SUSTAINABLE INFRA,Financials,Russell 2000
MHO,M I HOMES INC,Consumer Discretionary,Russell 2000
PLXS,PLEXUS CORP,Information Technology,Russell 2000
PRGS,PROGRESS SOFTWARE CORP,Information Technology,Russell 2000
EVTC,EVERTEC INC,Financials,Russell 2000
PDCO,PATTERSON COMPANIES INC,Health Care,Russell 2000
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials,Russell 2000
ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,Russell 2000
CPE,CALLON PETROLEUM,Energy,Russell 2000
AX,AXOS FINANCIAL INC,Financials,Russell 2000
ARCB,ARCBEST CORP,Industrials,Russell 2000
THS,TREEHOUSE FOODS INC,Consumer Staples,Russell 2000
APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials,Russell 2000
IBOC,INTERNATIONAL BANCSHARES CORP,Financials,Russell 2000
OMCL,OMNICELL INC,Health Care,Russell 2000
LGIH,LGI HOMES INC,Consumer Discretionary,Russell 2000
GLNG,GOLAR LNG LTD,Energy,Russell 2000
ENR,ENERGIZER HOLDINGS INC,Consumer Staples,Russell 2000
IPAR,INTER PARFUMS INC,Consumer Staples,Russell 2000
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,Real Estate,Russell 2000
KTB,KONTOOR BRANDS INC,Consumer Discretionary,Russell 2000
SDRL,SEADRILL LTD,Energy,Russell 2000
HL,HECLA MINING,Materials,Russell 2000
SHOO,STEVEN MADDEN LTD,Consumer Discretionary,Russell 2000
MGRC,MCGRATH RENT,Industrials,Russell 2000
ICFI,ICF INTERNATIONAL INC,Industrials,Russell 2000
COUR,COURSERA INC,Consumer Discretionary,Russell 2000
SPT,SPROUT SOCIAL INC CLASS A,Information Technology,Russell 2000
CVCO,CAVCO INDUSTRIES INC,Consumer Discretionary,Russell 2000
MODG,TOPGOLF CALLAWAY BRANDS CORP,Consumer Discretionary,Russell 2000
SKT,TANGER FACTORY OUTLET CENTERS REIT,Real Estate,Russell 2000
NMIH,NMI HOLDINGS INC CLASS A,Financials,Russell 2000
CVBF,CVB FINANCIAL CORP,Financials,Russell 2000
AMKR,AMKOR TECHNOLOGY INC,Information Technology,Russell 2000
BLMN,BLOOMIN BRANDS INC,Consumer Discretionary,Russell 2000
FBP,FIRST BANCORP,Financials,Russell 2000
PSN,PARSONS CORP,Industrials,Russell 2000
PRMW,PRIMO WATER CORP,Consumer Staples,Russell 2000
SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary,Russell 2000
HCC,WARRIOR MET COAL INC,Materials,Russell 2000
KWR,QUAKER CHEMICAL CORP,Materials,Russell 2000
FULT,FULTON FINANCIAL CORP,Financials,Russell 2000
REZI,RESIDEO TECHNOLOGIES INC,Industrials,Russell 2000
ROG,ROGERS CORP,Information Technology,Russell 2000
MOD,MODINE MANUFACTURING,Consumer Discretionary,Russell 2000
MYRG,MYR GROUP INC,Industrials,Russell 2000
AKRO,AKERO THERAPEUTICS INC,Health Care,Russell 2000
PRTA,PROTHENA PLC,Health Care,Russell 2000
VRTV,VERITIV CORP,Industrials,Russell 2000
STRL,STERLING INFRASTRUCTURE INC,Industrials,Russell 2000
INDB,INDEPENDENT BANK CORP,Financials,Russell 2000
GNL,GLOBAL NET LEASE INC,Real Estate,Russell 2000
VIAV,VIAVI SOLUTIONS INC,Information Technology,Russell 2000
CBU,COMMUNITY BANK SYSTEM INC,Financials,Russell 2000
WSFS,WSFS FINANCIAL CORP,Financials,Russell 2000
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary,Russell 2000
IDCC,INTERDIGITAL INC,Information Technology,Russell 2000
UPST,UPSTART HOLDINGS INC,Financials,Russell 2000
SGRY,SURGERY PARTNERS INC,Health Care,Russell 2000
ROCK,GIBRALTAR INDUSTRIES INC,Industrials,Russell 2000
CSTM,CONSTELLIUM SE CLASS A,Materials,Russell 2000
WOR,WORTHINGTON INDUSTRIES INC,Materials,Russell 2000
FIBK,FIRST INTERSTATE BANCSYSTEM INC,Financials,Russell 2000
URBN,URBAN OUTFITTERS INC,Consumer Discretionary,Russell 2000
FCPT,FOUR CORNERS PROPERTY INC TRUST,Real Estate,Russell 2000
STR,SITIO ROYALTIES CORP CLASS A,Energy,Russell 2000
EBC,EASTERN BANKSHARES INC,Financials,Russell 2000
STAA,STAAR SURGICAL,Health Care,Russell 2000
NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate,Russell 2000
DOOR,MASONITE INTERNATIONAL CORP,Industrials,Russell 2000
MTRN,MATERION CORP,Materials,Russell 2000
RELY,REMITLY GLOBAL INC,Financials,Russell 2000
DK,DELEK US HOLDINGS INC,Energy,Russell 2000
AMBA,AMBARELLA INC,Information Technology,Russell 2000
RRR,RED ROCK RESORTS ORS CLASS A INC,Consumer Discretionary,Russell 2000
AUB,ATLANTIC UNION BANKSHARES CORP,Financials,Russell 2000
AIR,AAR CORP,Industrials,Russell 2000
KMT,KENNAMETAL INC,Industrials,Russell 2000
ATRC,ATRICURE INC,Health Care,Russell 2000
RXO,RXO INC,Industrials,Russell 2000
CTRE,CARETRUST REIT INC,Real Estate,Russell 2000
SKYW,SKYWEST INC,Industrials,Russell 2000
PRFT,PERFICIENT INC,Information Technology,Russell 2000
EQC,EQUITY COMMONWEALTH REIT,Real Estate,Russell 2000
XPRO,EXPRO GROUP HOLDINGS NV,Energy,Russell 2000
PARR,PAR PACIFIC HOLDINGS INC,Energy,Russell 2000
PSMT,PRICESMART INC,Consumer Staples,Russell 2000
DORM,DORMAN PRODUCTS INC,Consumer Discretionary,Russell 2000
CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,Russell 2000
SJW,SJW GROUP,Utilities,Russell 2000
DAN,DANA INCORPORATED INC,Consumer Discretionary,Russell 2000
PD,PAGERDUTY INC,Information Technology,Russell 2000
ATGE,ADTALEM GLOBAL EDUCATION INC,Consumer Discretionary,Russell 2000
JOE,ST JOE,Real Estate,Russell 2000
TBBK,BANCORP INC,Financials,Russell 2000
MWA,MUELLER WATER PRODUCTS INC SERIES,Industrials,Russell 2000
SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Financials,Russell 2000
ENVX,ENOVIX CORP,Industrials,Russell 2000
PPBI,PACFIC PREMIER BANCORP INC,Financials,Russell 2000
UE,URBAN EDGE PROPERTIES,Real Estate,Russell 2000
EPC,EDGEWELL PERSONAL CARE,Consumer Staples,Russell 2000
ACVA,ACV AUCTIONS INC CLASS A,Industrials,Russell 2000
BANF,BANCFIRST CORP,Financials,Russell 2000
KW,KENNEDY WILSON HOLDINGS INC,Real Estate,Russell 2000
APPN,APPIAN CORP CLASS A,Information Technology,Russell 2000
CPK,CHESAPEAKE UTILITIES CORP,Utilities,Russell 2000
PJT,PJT PARTNERS INC CLASS A,Financials,Russell 2000
TRN,TRINITY INDUSTRIES INC,Industrials,Russell 2000
JOBY,JOBY AVIATION INC CLASS A,Industrials,Russell 2000
OSIS,OSI SYSTEMS INC,Information Technology,Russell 2000
SHO,SUNSTONE HOTEL INVESTORS REIT INC,Real Estate,Russell 2000
OPEN,OPENDOOR TECHNOLOGIES INC,Real Estate,Russell 2000
UEC,URANIUM ENERGY CORP,Energy,Russell 2000
NTCT,NETSCOUT SYSTEMS INC,Information Technology,Russell 2000
SEAS,SEAWORLD ENTERTAINMENT INC,Consumer Discretionary,Russell 2000
SITM,SITIME CORP,Information Technology,Russell 2000
LRN,STRIDE INC,Consumer Discretionary,Russell 2000
HURN,HURON CONSULTING GROUP INC,Industrials,Russell 2000
FFBC,FIRST FINANCIAL BANCORP,Financials,Russell 2000
RAMP,LIVERAMP HOLDINGS INC,Information Technology,Russell 2000
TALO,TALOS ENERGY INC,Energy,Russell 2000
TMDX,TRANSMEDICS GROUP INC,Health Care,Russell 2000
LAUR,LAUREATE EDUCATION INC,Consumer Discretionary,Russell 2000
QTWO,Q2 HOLDINGS INC,Information Technology,Russell 2000
PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials,Russell 2000
NGVT,INGEVITY CORP,Materials,Russell 2000
THRM,GENTHERM INC,Consumer Discretionary,Russell 2000
ROIC,RETAIL OPPORTUNITY INVESTMENTS REI,Real Estate,Russell 2000
WGO,WINNEBAGO INDUSTRIES INC,Consumer Discretionary,Russell 2000
VCYT,VERACYTE INC,Health Care,Russell 2000
FRME,FIRST MERCHANTS CORP,Financials,Russell 2000
XRX,XEROX HOLDINGS CORP,Information Technology,Russell 2000
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Russell 2000
CNK,CINEMARK HOLDINGS INC,Communication,Russell 2000
FWRD,FORWARD AIR CORP,Industrials,Russell 2000
SBCF,SEACOAST BANKING OF FLORIDA,Financials,Russell 2000
HLIO,HELIOS TECHNOLOGIES INC,Industrials,Russell 2000
SDGR,SCHRODINGER INC,Health Care,Russell 2000
SIX,SIX FLAGS ENTERTAINMENT CORP,Consumer Discretionary,Russell 2000
MTX,MINERALS TECHNOLOGIES INC,Materials,Russell 2000
NXT,NEXTRACKER INC CLASS A,Industrials,Russell 2000
PFSI,PENNYMAC FINANCIAL SERVICES INC,Financials,Russell 2000
CALM,CAL MAINE FOODS INC,Consumer Staples,Russell 2000
SAVE,SPIRIT AIRLINES INC,Industrials,Russell 2000
PRIM,PRIMORIS SERVICES CORP,Industrials,Russell 2000
DVAX,DYNAVAX TECHNOLOGIES CORP,Health Care,Russell 2000
GOLF,ACUSHNET HOLDINGS CORP,Consumer Discretionary,Russell 2000
B,BARNES GROUP INC,Industrials,Russell 2000
AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,Russell 2000
